label,Bif_name,vertex_ind,vertex_par,vertex_p_1,distance,angle,X,Y
MainGad_0,Main Pass - Gadwall Pass,"0","0","0",0.00000000000000,108.73157904154019,649650.001,3264942.610
MainGad_0,Main Pass - Gadwall Pass,"1","0","1",896.42646062671076,108.73157904154019,650498.947,3264654.737
MainGad_R,Main Pass - Gadwall Pass,"0","0","0",0.00000000000000,134.89750318711387,649591.219,3264820.184
MainGad_R,Main Pass - Gadwall Pass,"1","0","1",449.51603451119325,134.89750318711387,649909.643,3264502.898
MainGad_L,Main Pass - Gadwall Pass,"0","0","0",0.00000000000000,88.85944400450144,650029.621,3264500.054
MainGad_L,Main Pass - Gadwall Pass,"1","0","1",454.74026411900815,88.85944400450144,650484.271,3264509.106
MainCamp_0,Main Pass - Campground Pass,"0","0","0",0.00000000000000,117.48661962430202,651745.271,3269021.389
MainCamp_0,Main Pass - Campground Pass,"1","0","1",753.35926842809420,117.48661962430202,652413.590,3268673.682
MainCamp_R,Main Pass - Campground Pass,"0","0","0",0.00000000000000,166.93981242014129,651593.996,3268928.817
MainCamp_R,Main Pass - Campground Pass,"1","0","1",369.68724139054461,166.93981242014129,651677.536,3268568.693
MainCamp_L,Main Pass - Campground Pass,"0","0","0",0.00000000000000,101.84403020217157,651765.592,3268509.989
MainCamp_L,Main Pass - Campground Pass,"1","0","1",522.52410840167340,101.84403020217157,652276.991,3268402.742
PintGreg_0,Pintail Pass - Greg Pass,"0","0","0",0.00000000000000,85.48601154198758,651329.830,3264921.161
PintGreg_0,Pintail Pass - Greg Pass,"1","0","1",688.51740676217480,85.48601154198758,652016.211,3264975.349
PintGreg_L,Pintail Pass - Greg Pass,"0","0","0",0.00000000000000,71.17528998167408,651790.428,3264716.827
PintGreg_L,Pintail Pass - Greg Pass,"1","0","1",262.39739689865314,71.17528998167408,652038.790,3264801.496
PintGreg_R,Pintail Pass - Greg Pass,"0","0","0",0.00000000000000,103.54428387149935,651308.380,3264801.496
PintGreg_R,Pintail Pass - Greg Pass,"1","0","1",414.55251891193370,103.54428387149935,651711.404,3264704.409
MainMall_0,Main Pass - Mallard Pass,"0","0","0",0.00000000000000,126.57883132062653,649953.680,3266394.398
MainMall_0,Main Pass - Mallard Pass,"1","0","1",1155.57467560369014,126.57883132062653,650881.650,3265705.759
MainMall_R,Main Pass - Mallard Pass,"0","0","0",0.00000000000000,158.74949449286359,649757.248,3266295.053
MainMall_R,Main Pass - Mallard Pass,"1","0","1",436.06029686651510,158.74949449286359,649915.296,3265888.643
MainMall_L,Main Pass - Mallard Pass,"0","0","0",0.00000000000000,110.27934528034373,649985.289,3265766.720
MainMall_L,Main Pass - Mallard Pass,"1","0","1",820.79975087894604,110.27934528034373,650755.211,3265482.233
EastPint_0,East Pass - Pintail Pass,"0","0","0",0.00000000000000,74.40858070111859,653146.794,3263479.961
EastPint_0,East Pass - Pintail Pass,"1","0","1",669.01602256816864,74.40858070111859,653791.192,3263659.777
EastPint_R,East Pass - Pintail Pass,"0","0","0",0.00000000000000,103.55581420853095,653147.169,3263445.210
EastPint_R,East Pass - Pintail Pass,"1","0","1",288.92856254164610,103.55581420853095,653428.048,3263377.487
EastPint_L,East Pass - Pintail Pass,"0","0","0",0.00000000000000,48.76968179848358,653495.765,3263384.908
EastPint_L,East Pass - Pintail Pass,"1","0","1",396.46470667090335,48.76968179848358,653793.933,3263646.213
